id,impact,tags,description,help,helpUrl,nodeImpact,nodeHtml,nodeTarget,nodeType,message,numViolation
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(128,134,139)"" font-size=""7.56500005722046"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""31"" transform=""matrix(1,0,0,1,133.5709991455078,19.389999389648438)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""31""][font-size=""7.56500005722046""][fill=""rgb(128,134,139)""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.56500005722046"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""1"" transform=""matrix(1,0,0,1,157.8560028076172,19.389999389648438)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""1""][font-size=""7.56500005722046""][fill=""rgb(60,64,67)""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""2"" transform=""matrix(1,0,0,1,12.249000549316406,16.477001190185547)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""2""][fill=""rgb(60,64,67)""][font-size=""7.57075977325439""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""3"" transform=""matrix(1,0,0,1,36.53499984741211,16.477001190185547)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""3""][fill=""rgb(60,64,67)""][font-size=""7.57075977325439""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""4"" transform=""matrix(1,0,0,1,60.81999969482422,16.477001190185547)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""4""][fill=""rgb(60,64,67)""][font-size=""7.57075977325439""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""5"" transform=""matrix(1,0,0,1,85.10600280761719,16.476999282836914)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""5""][fill=""rgb(60,64,67)""][font-size=""7.57075977325439""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""6"" transform=""matrix(1,0,0,1,109.39199829101562,16.477001190185547)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""6""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""7"" transform=""matrix(1,0,0,1,133.677001953125,16.477001190185547)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""7""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""8"" transform=""matrix(1,0,0,1,157.96400451660156,16.477001190185547)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""8""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""9"" transform=""matrix(1,0,0,1,12.24899959564209,16.501998901367188)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""9""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
